animal_id,mammal_genus,mammal_scientific_name,mammal_type ,mammal_group,plant_pub_name,endemic_widelydistributed,native_exotic,habit,updated_genus,updated_species,family,fruit_nature,fruit_type,fruit_colour,colour_nature,fruit_odour,no_of_seed_per_fruit,seed_number,arillate_notarillate,fruit_length_l,fruit_length_h,fruit_breadth_l,fruit_breadth_h,fruit_diameter_l,fruit_diameter_h,seed_length_l,seed_length_h,seed_breadth_l,seed_breadth_h,seed_diameter_l,seed_diameter_h,iucn_status_plant,location_country,Asia_zone,author_id
Western Hoolock Gibbon,Hoolock,Hoolock hoolock,Primates,Hominidae,Dysoxylum procerum,Widely distributed,Native,Tree,Dysoxylum,Dysoxylum procerum,Meliaceae,Dry,Capsule,Red,"Bright (Red, Orange, Pink)",absent,3,Two-Five,Not arillate,3.5,3.5,3.5,4,NA,NA,NA,NA,NA,NA,NA,NA,Not assessed,India,Indian subcontinent,Barua & Gogoi 2012
Western Hoolock Gibbon,Hoolock,Hoolock hoolock,Primates,Hominidae,Elaeocarpus robustus,Widely distributed,Native,Tree,Elaeocarpus ,Elaeocarpus robustus,Elaeocarpaceae,Fleshy,Drupe,Yellow,"Light (Brown, Green, Grey, White, Yellow)",absent,1,One,Not arillate,NA,NA,NA,NA,0.25,0.25,NA,NA,NA,NA,NA,NA,Not assessed,India,Indian subcontinent,Barua & Gogoi 2012
Western Hoolock Gibbon,Hoolock,Hoolock hoolock,Primates,Hominidae,Eurya japonica,Widely distributed,Exotic,Shrub,Eurya,Eurya japonica,Pentaphylacaceae,Fleshy,Berry,Black,"Dark (Black, Blue, Purple, Violet)",absent,many,> Twenty,Not arillate,NA,NA,NA,NA,0.4,0.5,NA,NA,NA,NA,0.1,0.1,Not assessed,India,Indian subcontinent,Barua & Gogoi 2012
Western Hoolock Gibbon,Hoolock,Hoolock hoolock,Primates,Hominidae,Ficus lepidosa,Widely distributed,Native,Tree,Ficus,Ficus lamponga,Moraceae,Fig,Synconium,Red,"Bright (Red, Orange, Pink)",absent,many,> Twenty,Not arillate,NA,NA,NA,NA,0.8,1.3,NA,NA,NA,NA,NA,NA,Not assessed,India,Indian subcontinent,Barua & Gogoi 2012
Western Hoolock Gibbon,Hoolock,Hoolock hoolock,Primates,Hominidae,Garcinia calycina,Endemic,Native,Tree,Garcinia,Garcinia calycina,Clusiaceae,Fleshy,Berry,Yellow,"Light (Brown, Green, Grey, White, Yellow)",absent,12,Eleven-Twenty,Not arillate,1,1,0.6,0.6,NA,NA,NA,NA,NA,NA,NA,NA,Not assessed,India,Indian subcontinent,Barua & Gogoi 2012
Western Hoolock Gibbon,Hoolock,Hoolock hoolock,Primates,Hominidae,Litsea laeta,Widely distributed,Native,Tree,Litsea ,Litsea laeta,Lauraceae,Fleshy,Drupe,White,"Light (Brown, Green, Grey, White, Yellow)",absent,1,One,Not arillate,1.5,1.5,1.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,Least Concern,India,Indian subcontinent,Barua & Gogoi 2012
Western Hoolock Gibbon,Hoolock,Hoolock hoolock,Primates,Hominidae,Ficus ramentacea,Widely distributed,Native,Tree,Ficus,Ficus sagittata,Moraceae,Fig,Synconium,Orange,"Bright (Red, Orange, Pink)",absent,many,> Twenty,Not arillate,NA,NA,NA,NA,0.8,1.5,NA,NA,NA,NA,NA,NA,Least Concern,India,Indian subcontinent,Borah et al 2018
Western Hoolock Gibbon,Hoolock,Hoolock hoolock,Primates,Hominidae,Ficus laevis,Widely distributed,Native,Tree,Ficus,Ficus laevis,Moraceae,Fig,Synconium,Purple,"Dark (Black, Blue, Purple, Violet)",absent,many,> Twenty,Not arillate,NA,NA,NA,NA,1.5,2.5,NA,NA,NA,NA,NA,NA,Not assessed,India,Indian subcontinent,Borah et al 2018
Western Hoolock Gibbon,Hoolock,Hoolock hoolock,Primates,Hominidae,Horsfieldia amygdalina,Widely distributed,Native,Tree,Horsfieldia,Horsfieldia amygdalina,Myristicaceae,Dry,Capsule,Orange,"Bright (Red, Orange, Pink)",absent,1,One,Arillate,3,3.5,1.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,Not assessed,India,Indian subcontinent,Borah et al 2018
Western Hoolock Gibbon,Hoolock,Hoolock hoolock,Primates,Hominidae,Trichosanthes truncata,Widely distributed,Native,Climber,Trichosanthes,Trichosanthes truncata,cucurbitaceae,Fleshy,Berry,Red,"Bright (Red, Orange, Pink)",absent,many,> Twenty,Not arillate,12,18,5,10,NA,NA,1,2.3,0.5,2,NA,NA,Not assessed,India,Indian subcontinent,Borah et al 2018
