animal_id,mammal_genus,mammal_scientific_name,mammal_type ,mammal_group,plant_pub_name,endemic_widelydistributed,native_exotic,habit,updated_genus,updated_species,family,fruit_nature,fruit_type,fruit_colour,colour_nature,fruit_odour,no_of_seed_per_fruit,seed_number,arillate_notarillate,fruit_length_l,fruit_length_h,fruit_breadth_l,fruit_breadth_h,fruit_diameter_l,fruit_diameter_h,seed_length_l,seed_length_h,seed_breadth_l,seed_breadth_h,seed_diameter_l,seed_diameter_h,iucn_status_plant,location_country,Asia_zone,author_id
Sloth Bear,Melursus,Melursus ursinus,Carnivore,Ursid,Capparis zeylanica,Widely distributed,Native,Climber,Capparis,Capparis zeylanica,Capparaceae,Fleshy,Berry,Red,"Bright (Red, Orange, Pink)",absent,many,> Twenty,Not arillate,4.5,4.5,3.5,3.5,NA,NA,0.5,0.8,0.4,0.6,NA,NA,Not assessed,India,Indian subcontinent,Samad & Hosetti 2018
Sloth Bear,Melursus,Melursus ursinus,Carnivore,Ursid,Grewia villosa,Widely distributed,Native,Shrub,Grewia,Grewia villosa,Malvaceae,Fleshy,Drupe,Brown,"Light (Brown, Green, Grey, White, Yellow)",absent,2,Two-Five,Not arillate,0.8,0.8,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Least Concern,India,Indian subcontinent,Samad & Hosetti 2018
Sloth Bear,Melursus,Melursus ursinus,Carnivore,Ursid,Xemenia americana,Widely distributed,Native,Shrub,Ximenia,Ximenia americana,Olacaceae,Fleshy,Drupe,Yellow,"Light (Brown, Green, Grey, White, Yellow)",present,1,One,Not arillate,3,3,2.5,2.5,2,3,1.5,1.5,1.2,1.2,NA,NA,Least Concern,India,Indian subcontinent,Samad & Hosetti 2018
Sloth Bear,Melursus,Melursus ursinus,Carnivore,Ursid,Artocarpus integrifolia,Widely distributed,Native,Tree,Artocarpus,Artocarpus integer,Moraceae,Fleshy,Syncarp,Yellow,"Light (Brown, Green, Grey, White, Yellow)",present,Many,> Twenty,Not arillate,20,35,10,15,NA,NA,2,3,1.95,1.95,NA,NA,Not assessed,India,Indian subcontinent,Sreekumar & Balakrishnan 2002
Sloth Bear,Melursus,Melursus ursinus,Carnivore,Ursid,Baccaurea courtallensis,Endemic,Native,Tree,Baccaurea,Baccaurea courtallensis,Phyllanthaceae,Fleshy,Capsule,Red,"Bright (Red, Orange, Pink)",absent,3,Two-Five,Arillate,1.5,3,1.5,2.5,2,3,NA,NA,NA,NA,NA,NA,NA,India,Indian subcontinent,Sreekumar & Balakrishnan 2002
Sloth Bear,Melursus,Melursus ursinus,Carnivore,Ursid,Aporosa lindleyana,Widely distributed,Native,Tree,Aporosa,Aporosa cardiosperma,Phyllanthaceae,Dry,Capsule,Orange,"Bright (Red, Orange, Pink)",absent,1,One,Arillate,NA,NA,NA,NA,1,1.2,NA,NA,NA,NA,NA,NA,Vulnerable,India,Indian subcontinent,Sreekumar & Balakrishnan 2002
Sloth Bear,Melursus,Melursus ursinus,Carnivore,Ursid,Elaeocarpus tuberculatus,Widely distributed,Native,Tree,Elaeocarpus ,Elaeocarpus tuberculatus,Elaeocarpaceae,Fleshy,Drupe,Green,"Light (Brown, Green, Grey, White, Yellow)",absent,1,One,Not arillate,3,3.5,2.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,Not assessed,India,Indian subcontinent,Sreekumar & Balakrishnan 2002
Sloth Bear,Melursus,Melursus ursinus,Carnivore,Ursid,Ixora coccinea,Widely distributed,Native,Shrub,Ixora,Ixora coccinea,Rubiaceae,Fleshy,Berry,Red ,"Bright (Red, Orange, Pink)",absent,2,Two-Five,Not arillate,NA,NA,NA,NA,0.6,0.8,NA,NA,NA,NA,0.3,0.4,Not assessed,India,Indian subcontinent,Sreekumar & Balakrishnan 2002
Sloth Bear,Melursus,Melursus ursinus,Carnivore,Ursid,Cassia tora,Widely distributed,Exotic,Herb,Senna,Senna tora,Fabaceae,Dry,Pod,Brown,"Light (Brown, Green, Grey, White, Yellow)",absent,many,> Twenty,Not arillate,10,20,0.4,0.6,NA,NA,NA,NA,NA,NA,0.5,0.5,Not assessed,India,Indian subcontinent,Sukhadiya et al 2013
Slow loris,Melursus,Melursus ursinus,Primates,Loris,Bryenia vitis-idaea,Widely distributed,Native,Shrub,Breynia,Breynia vitis-idaea,Phyllanthaceae,Dry,Capsule,Red,"Bright (Red, Orange, Pink)",absent,many,> Twenty,Not arillate,0.35,0.5,0.4,0.5,NA,NA,0.3,0.45,0.18,0.25,NA,NA,Least Concern,India,Indian subcontinent,Swapna et al 2010
Spotted Deer,Axis,Axis axis,Herbivore,Cervid,Bauhinia retusa,Widely distributed,Native,Shrub,Phanera,Phanera roxburghiana,Fabaceae,Dry,Pod,Brown,"Light (Brown, Green, Grey, White, Yellow)",absent,8,Six-Ten,Not arillate,10,17.5,3,3.8,NA,NA,NA,NA,NA,NA,NA,NA,Not assessed,India,Indian subcontinent,Newton 1989
Stump-tailed Macaque,Macaca,Macaca arctoides,Primates,Macaque,Saprosoma ternatum,Widely distributed,Native,Shrub,Saprosma,Saprosoma ternata,Rubiaceae,Fleshy,Drupe,Blue,"Dark (Black, Blue, Purple, Violet)",absent,2,Two-Five,Not arillate,0.8,1.2,0.6,0.8,NA,NA,NA,NA,NA,NA,NA,NA,Not assessed,India,Indian subcontinent,Sharma 2012
