"author_of_the_papers","year_of_publishing","paper_heading","mammal_species","mammal_group","country","BIOME_NAME","ECO_NAME","REALM","SHAPE_LENG","SHAPE_AREA","geometry"
"Caldecott 1990",1990,"Eruptions and migrations of bearded pig population","Bornean bearded pig","Herbivore","Malayesia","Tropical & Subtropical Moist Broadleaf Forests","Borneo lowland rain forests","Indomalayan",167.919502175,34.6113693569,c(113.0012, 2.55742777999999)
"Campos-arceiz et al 2008",2008,"Working with mahouts to explore the diet of work elephants in Myanmar (Burma)","Elephant","Herbivore","Myanmar","Tropical & Subtropical Moist Broadleaf Forests","Irrawaddy moist deciduous forests","Indomalayan",47.4946029193,12.0092284198,c(96.15916667, 19.30027778)
"Caughlin et al 2014",2014,"The importance of long-distance seed dispersal for the demography and distribution of a canopy tree species","Large indian civet","Carnivore","Thailand","Tropical & Subtropical Moist Broadleaf Forests","Kayah-Karen montane rain forests","Indomalayan",30.9776479648,10.1854747348,c(99.32089167, 15.60861389)
"Chakraborty 2006",2006,"Comparative food habits of four sympatric carnivores (wolf, fox, hyena and jackal) in Kutch","Golden Jackal","Carnivore","India","Deserts & Xeric Shrublands","Aravalli west thorn scrub forests","Indomalayan",121.583472918,44.7386078271,c(68.82731389, 23.26084444)
"Chakraborty 2006",2006,"Comparative food habits of four sympatric carnivores (wolf, fox, hyena and jackal) in Kutch","Striped hyaena","Herbivore","India","Deserts & Xeric Shrublands","Aravalli west thorn scrub forests","Indomalayan",121.583472918,44.7386078271,c(68.82731389, 23.26084444)
"Chakravarthy & Ratnam_2015",2015,"Seed dispersal of Vitex glabrata and Prunus ceylanica by Civets (Viverridae) in Pakke Tiger Reserve, north-east India: spatial patterns and post-dispersal seed fates","Civet sp","Carnivore","India","Temperate Broadleaf & Mixed Forests","Eastern Himalayan broadleaf forests","Indomalayan",121.712300554,7.58235808345,c(92.98934722, 26.95354167)
"Chandru et al 2020",2020,"Seed dispersal by ungulates in the point calimere wildlife sanctuary: A scientific and perspective analysis","Horse ","Herbivore","India","Deserts & Xeric Shrublands","Godavari-Krishna mangroves","Indomalayan",16.5759477632,0.591342978906,c(79.82991389, 10.28644167)
"Chandru et al 2020",2020,"Seed dispersal by ungulates in the point calimere wildlife sanctuary: A scientific and perspective analysis","Spotted deer","Herbivore","India","Deserts & Xeric Shrublands","Godavari-Krishna mangroves","Indomalayan",16.5759477632,0.591342978906,c(79.82991389, 10.28644167)
"Chandru et al 2020",2020,"Seed dispersal by ungulates in the point calimere wildlife sanctuary: A scientific and perspective analysis","Wild pig","Herbivore","India","Deserts & Xeric Shrublands","Godavari-Krishna mangroves","Indomalayan",16.5759477632,0.591342978906,c(79.82991389, 10.28644167)
"Changgani 2002",2002,"FOOD AND FEEDING OF SLOTH BEAR (Melursus ursinus) IN ARAVALLI HILLS OF RAJASTHAN, INDIA","Sloth bear","Carnivore","India","Tropical & Subtropical Dry Broadleaf Forests","Khathiar-Gir dry deciduous forests","Indomalayan",30.9183998667,23.7341991774,c(72.82791389, 24.63451944)
"Chanthorn & Brockelman 2008",2008,"Seed dispersal and seedling recruitment in the light demanding tree Choerospondias axillaris in old-growth forest in Thailand","Indian barking deer","Herbivore","Thailand","Tropical & Subtropical Dry Broadleaf Forests","Southeast Indochina dry evergreen forests","Indomalayan",70.3793262875,10.3247537093,c(101.53044167, 14.31092222)
"Chanthorn & Brockelman 2008",2008,"Seed dispersal and seedling recruitment in the light demanding tree Choerospondias axillaris in old-growth forest in Thailand","Sambar","Herbivore","Thailand","Tropical & Subtropical Dry Broadleaf Forests","Southeast Indochina dry evergreen forests","Indomalayan",70.3793262875,10.3247537093,c(101.53044167, 14.31092222)
