author_of_the_papers,year_of_publishing,paper_heading,study_duration_months,mammal_species,mammal_group,country,latitude ,longitude
Biswas 2002,2002,Ecology and social behaviour of golden langur trachypithecus geei Khajuria 1956 in Assam,11,Golden langur,Carnivore,India,26.33762222 N,90.32948333 E
Borah et al 2018,2018,Diet and feeding ecology of the western hoolock gibbon (Hoolock hoolock) in a tropical forest fragment of Northeast India,12,Western hoolock gibbon,Primate,India,26.666025 N,94.35989444 E
Brockelman et al 2022,2022,Dispersal success of a specialized tropical tree depends on complex interactions among diverse mammalian frugivores,NA,Bear sp,Carnivore,Thailand,14.31092222 N,101.53044167 E
Brockelman et al 2022,2022,Dispersal success of a specialized tropical tree depends on complex interactions among diverse mammalian frugivores,NA,Elephant,Herbivore,Thailand,14.31092222 N,101.53044167 E
Brockelman et al 2022,2022,Dispersal success of a specialized tropical tree depends on complex interactions among diverse mammalian frugivores,NA,Indian barking deer,Herbivore,Thailand,14.31092222 N,101.53044167 E
Brockelman et al 2022,2022,Dispersal success of a specialized tropical tree depends on complex interactions among diverse mammalian frugivores,NA,Sambar,Herbivore,Thailand,14.31092222 N,101.53044167 E
Brockelman et al 2022,2022,Dispersal success of a specialized tropical tree depends on complex interactions among diverse mammalian frugivores,NA,Wild pig,Herbivore,Thailand,14.31092222 N,101.53044167 E
Brodie & Brockelman 2009,2009,Bed site selection of red muntjac (Muntiacus muntjak) and sambar (Rusa unicolor) in a tropical seasonal forest,2,Indian barking deer,Herbivore,Thailand,14.31092222 N,101.53044167 E
Brodie & Brockelman 2009,2009,Bed site selection of red muntjac (Muntiacus muntjak) and sambar (Rusa unicolor) in a tropical seasonal forest,2,Sambar,Herbivore,Thailand,14.31092222 N,101.53044167 E
Brodie et al 2009,2009,Bushmeat poaching reduces the seed dispersal and population growth rate of a mammal-dispersed tree,36,Indian barking deer,Herbivore,Thailand,18.58804444 N,98.48706111 E
Brodie et al 2009,2009,Bushmeat poaching reduces the seed dispersal and population growth rate of a mammal-dispersed tree,36,Sambar,Herbivore,Thailand,18.58804444 N,98.48706111 E
Caldecott 1990,1990,Eruptions and migrations of bearded pig population,NA,Bornean bearded pig,Herbivore,Malayesia,2.55742778 N,113.0012 E
Campos-arceiz et al 2008,2008,Working with mahouts to explore the diet of work elephants in Myanmar (Burma),1,Elephant,Herbivore,Myanmar,19.30027778 N,96.15916667 E
Caughlin et al 2014,2014,The importance of long-distance seed dispersal for the demography and distribution of a canopy tree species,24,Large indian civet,Carnivore,Thailand,15.60861389 N,99.32089167 E
Chakraborty 2006,2006,"Comparative food habits of four sympatric carnivores (wolf, fox, hyena and jackal) in Kutch",3,Golden Jackal,Carnivore,India,23.26084444 N,68.82731389 E
Chakraborty 2006,2006,"Comparative food habits of four sympatric carnivores (wolf, fox, hyena and jackal) in Kutch",3,Striped hyaena,Herbivore,India,23.26084444 N,68.82731389 E
Chakravarthy & Ratnam_2015,2015,"Seed dispersal of Vitex glabrata and Prunus ceylanica by Civets (Viverridae) in Pakke Tiger Reserve, north-east India: spatial patterns and post-dispersal seed fates",4,Civet sp,Carnivore,India,26.95354167 N,92.98934722 E
Chandru et al 2020,2020,Seed dispersal by ungulates in the point calimere wildlife sanctuary: A scientific and perspective analysis,5,Horse ,Herbivore,India,10.28644167 N ,79.82991389 E
Chandru et al 2020,2020,Seed dispersal by ungulates in the point calimere wildlife sanctuary: A scientific and perspective analysis,5,Spotted deer,Herbivore,India,10.28644167 N ,79.82991389 E
Chandru et al 2020,2020,Seed dispersal by ungulates in the point calimere wildlife sanctuary: A scientific and perspective analysis,5,Wild pig,Herbivore,India,10.28644167 N ,79.82991389 E
Changgani 2002,2002,"FOOD AND FEEDING OF SLOTH BEAR (Melursus ursinus) IN ARAVALLI HILLS OF RAJASTHAN, INDIA",72,Sloth bear,Carnivore,India,24.63451944 N,72.82791389 E
Chanthorn & Brockelman 2008,2008,Seed dispersal and seedling recruitment in the light demanding tree Choerospondias axillaris in old-growth forest in Thailand,5,Indian barking deer,Herbivore,Thailand,14.31092222 N,101.53044167 E
Chanthorn & Brockelman 2008,2008,Seed dispersal and seedling recruitment in the light demanding tree Choerospondias axillaris in old-growth forest in Thailand,5,Sambar,Herbivore,Thailand,14.31092222 N,101.53044167 E
Chathuranga & Ranawana 2017,2017,"A preliminary investigation of seed dispersal by elephants (Elephas maximus maximus) in Kumaragala Forest Reserve, Matale District, Sri Lanka",5,Elephant,Herbivore,Sri Lanka,7.26818611 N,80.51155833 E
Chathuranga et al 2015,2015,"Seed Dispersal Potential of Asian Elephants (Elephas maximus) in Kumaragala Forest Reserve, Matale District, Sri Lanka",5,Elephant,Herbivore,Sri Lanka,7.26818611 N,80.51155833 E
Chen et al 2000,2000,Fruit Characteristics and Muntiacus muntijak vaginalis (Muntjac) Visits to Individual Plants of Choerospondias axillaris,NA,Indian barking deer,Herbivore,China,21.45941111 N,101.56461111 E
Chetri 2006,2006,"Diet Analysis of Gaur, Bos gaurus gaurus (Smith, 1827) by Micro-Histological Analysis of Fecal Samples in Parsa Wildlife Reserve, Nepal ",NA,Gaur,Herbivore,Nepal,27.47601111 N,84.79420833 E
Choudhury et al 1989,1989,"Ecology of capped langur (Presbytis pileatus) in Assam, India",26,Capped langur,Primate,India,26.61148889 N,93.39362778 E
Chourasia et al 2012,2012,"Food Habits of Golden Jackal (Canis aureus) and Striped Hyena (Hyaena hyaena) in Sariska Tiger Reserve, Western India",8,Golden Jackal,Carnivore,India,27.31041389 N,76.43891667 E
Chuang & Lee 1997,1997,"Food habits of three carnivore species (Viverricula indica, Herpestes uwa, and Melogale moschata) in Fushan Forest, northern Taiwan",16,Small indian civet,Carnivore,China,24.75960833 N,121.59071389 E
Clink et al 2017,2017,"Dietary diversity, feeding selectivity, and responses to fruit scarcity of two sympatric Bornean primates (Hylobates albibarbis and Presbytis rubicunda rubida)",65,Bornean white-bearded gibbon,Primate,Indonesia,1.85909722 S,109.9719 E
Clink et al 2017,2017,"Dietary diversity, feeding selectivity, and responses to fruit scarcity of two sympatric Bornean primates (Hylobates albibarbis and Presbytis rubicunda rubida)",65,Maroon leaf monkey,Primate,Indonesia,1.85909722 S,109.9719 E
Colon & Campos-arceiz 2010,2010,The Impact of Gut P The Impact of Gut Passage b assage by Bintur y Binturongs (Ar ongs (Arctictus Bintur ctictus Binturong) on Seed Germination,NA,Binturong,Carnivore,Singapore,1.40436667 N,103.79302222 E
