author_of_the_papers,year_of_publishing,paper_heading,study_duration_months,mammal_species,mammal_group,country,latitude ,longitude
Mewada et al 2019,2019,"Fruiting Species Influence the Seasonal Use of the Habitat by Sloth Bear in and around Balaram Ambaji Wildlife Sanctuary, Gujarat, India",12,Sloth bear,Carnivore,India,24.35618056 N,72.64284444 E
Mise et al 2016,2016,Comparing methods of acquiring mammalian endozoochorous seed dispersal distance distributions,13,Raccoon dog,Carnivore,Japan,35.68395556 N,139.47867222 E
Moorthi & Srimathi 2018,2018,"POPULATION STRUCTURE, DISTRIBUTION AND FEEDING HABITAT OF BONNET MACAQUE (MACACA RADIATA) IN KANYAKUMARI WILDLIFE SANCTUARY, WESTERN GHATS, TAMIL NADU, INDIA",5,Bonnet macaque,Primate,India,8.48766667 N,77.408225 E
Mori et al 2019,2019,Dietary specialization depending on ecological context and sexual differences in Asiatic black bears,14,Asiatic black bear,Carnivore,Japan,35.69406667 N,137.67770556 E
Mudappa et al 2010,2010,"Diet and fruit choice of the brown palm civet Paradoxurus jerdoni, a viverrid endemic to the Western Ghats rainforest, India",36,Brown palm civet,Carnivore,India,8.59663333 N,77.38795556 E
Mukherjee 1978,1978,"Further Observations on the Golden Langur (Presbytis geei KI-IAJURIA, 1956), with a Note to Capped Langur (Presbytis pileatus BLYa'H, 1843) of Assam",8,Capped langur,Primate,India,26.2513 N,90.28301389 E
Mukherjee 1978,1978,"Further Observations on the Golden Langur (Presbytis geei KI-IAJURIA, 1956), with a Note to Capped Langur (Presbytis pileatus BLYa'H, 1843) of Assam",8,Golden langur,Carnivore,India,26.2513 N,90.28301389 E
Nadeem et al 2012,2012,"Season- and locality-related changes in the diet of Asiatic jackal (Canis aureus) in Potohar, Pakistan",3,Golden Jackal,Carnivore,Pakistan,32.64689722 N,72.72846944 E
Nagarkoti & Thapa 2007,2007,FOOD HABITS OF BARKING DEER (MUNTIACUS MUNTJAC) IN THE MIDDLE HILLS OF NEPAL,5,Indian barking deer,Herbivore,Nepal,27.72698056 N,85.256725 E
Nakabyashi 2016,2016,"Fruit selection of a binturong (Arctictis binturong) by focal animal sampling in Sabah, Malaysian Borneo",15,Binturong,Carnivore,Malayesia,5.42040556 N,116.79678611 E
Nakabyashi 2020,2020,List of food plants of four sympatric Paradoxuriane civet species based on eight-year records on Borneo,8,Binturong,Carnivore,Malayesia,5.42040556 N,116.79678611 E
Nakabyashi 2020,2020,List of food plants of four sympatric Paradoxuriane civet species based on eight-year records on Borneo,8,Common palm civet,Carnivore,Malayesia,5.42040556 N,116.79678611 E
Nakabyashi 2020,2020,List of food plants of four sympatric Paradoxuriane civet species based on eight-year records on Borneo,8,Masked palm civet,Carnivore,Malayesia,5.42040556 N,116.79678611 E
Nakabyashi 2020,2020,List of food plants of four sympatric Paradoxuriane civet species based on eight-year records on Borneo,8,Small toothed palm civet,Carnivore,Malayesia,5.42040556 N,116.79678611 E
Nakabyashi et al 2012,2012,"An observation of several Common Palm Civets Paradoxurus hermaphroditus at a fruiting tree of Endospermum diadenum in Tabin Wildlife Reserve, Sabah, Malaysia: comparing feeding patterns of frugivorous carnivorans",NA,Common palm civet,Carnivore,Malayesia,5.21442222 N,118.7198 E
Nakabyashi et al 2016,2016,Behavioral feeding strategy of frugivorous civets in a Bornean rainforest,3,Binturong,Carnivore,Malayesia,4.96183889 N,117.68924444 E
Nakabyashi et al 2016,2016,Behavioral feeding strategy of frugivorous civets in a Bornean rainforest,3,Common palm civet,Carnivore,Malayesia,4.96183889 N,117.68924444 E
Nakabyashi et al 2016,2016,Behavioral feeding strategy of frugivorous civets in a Bornean rainforest,3,Small toothed palm civet,Carnivore,Malayesia,4.96183889 N,117.68924444 E
Nakabyashi et al 2019,2019,Limited directed seed dispersal in the canopy as one of the determinants of the low hemiepiphytic figs‚Äô recruitments in Bornean rainforests,8,Binturong,Carnivore,Malayesia,4.96183889 N,117.68924444 E
Nakajima et al 2018,2018,Feeding habits of Asian black bears (Ursus thibetanus) in relation to the abundance and timing of fruiting in 13 tree species,12,Asiatic black bear,Carnivore,Japan,36.64615278 N,139.04416944 E
Nakamura et al 2013,2013,Determinant factors in the seedling establishment of Pasania edulis (Makino) Makino,168,European Badger,Carnivore,Japan,31.39397222 N,130.87785833 E
Nakamura et al 2013,2013,Determinant factors in the seedling establishment of Pasania edulis (Makino) Makino,168,Raccoon dog,Carnivore,Japan,31.39397222 N,130.87785833 E
Nakashima & Matsubayashi 2008,2008,"Seed Dispersal by Mammals in Different Harvesting Intensities with Reduced-Impact and ConventionalLogging in Sabah, Malaysia",3,Civet sp,Carnivore,Malayesia,5.35335278 N,117.40865 E
Nakashima & Matsubayashi 2008,2008,"Seed Dispersal by Mammals in Different Harvesting Intensities with Reduced-Impact and ConventionalLogging in Sabah, Malaysia",3,Common palm civet,Carnivore,Malayesia,5.35335278 N,117.40865 E
Nakashima & Matsubayashi 2008,2008,"Seed Dispersal by Mammals in Different Harvesting Intensities with Reduced-Impact and ConventionalLogging in Sabah, Malaysia",3,Sunbear,Carnivore,Malayesia,5.35335278 N,117.40865 E
Nakashima & Sukor 2010,2010,Importance of common palm civets (Paradoxurus hermaphroditus) as a long-distance disperser for large-seeded plants in degraded forests,19,Common palm civet,Carnivore,Malayesia,5.21428333 N,118.7198 E
Nakashima et al 2008,2008,"A Study of Fruit‚ÄìFrugivore Interactions in Two Species of Durian (Durio, Bombacaceae) in Sabah, Malaysia",2,Sunbear,Carnivore,Malayesia,5.35335278 N,117.40865 E
Nakashima et al 2010 a,2010,"High Potential of a Disturbance-Tolerant Frugivore, the Common Palm Civet Paradoxurus hermaphroditus (Viverridae), as a Seed Disperser for Large-Seeded Plants",6,Common palm civet,Carnivore,Malayesia,5.21428333 N,118.7198 E
Nakashima et al 2010 b,2010,"Functional uniqueness of a small carnivore as seed dispersal agents: a case study of the common palm civets in the Tabin Wildlife Reserve, Sabah, Malaysia",25,Common palm civet,Carnivore,Malayesia,5.21428333 N,118.7198 E
Naoe et al 2016,2016,Mountain-climbing bears protect cherry species from global warming through vertical seed dispersal,48,Asiatic black bear,Carnivore,Japan,35.80950278 N,139.09605833 E
Naoe et al 2019,2019,Downhill seed dispersal by temperate mammals: a potential threat to plant escape from globalwarming,11,Asiatic black bear,Carnivore,Japan,35.80950278 N,139.09605833 E
Naoe et al 2019,2019,Downhill seed dispersal by temperate mammals: a potential threat to plant escape from globalwarming,11,Japanese macaque,Primate,Japan,35.80950278 N,139.09605833 E
Naoe et al 2019,2019,Downhill seed dispersal by temperate mammals: a potential threat to plant escape from globalwarming,11,Japanese marten,Carnivore,Japan,35.80950278 N,139.09605833 E
Naoe et al 2019,2019,Downhill seed dispersal by temperate mammals: a potential threat to plant escape from globalwarming,11,Raccoon dog,Carnivore,Japan,35.80950278 N,139.09605833 E
Nautiyal 2015,2015,"‚ÄúLife in the extreme: Time-activity budgets and foraging ecology of Central Himalayan Langur (Semnopithecus schistaceus) in the Kedarnath Wildlife Sanctuary, Uttarakhand India‚Äù",4,Nepal gray langur ,Primate,India,30.75344722 N,79.06450556 E
Neha et al 2020,2020,Feeding Behavior of the Western Hoolock Gibbon (Hoolock hoolock) in Bangladesh: Response to Temporal Variation of Food Sources,12,Western hoolock gibbon,Primate,Bangladesh,24.12464444 N,91.44458889 E
Nekaris & Rasmunssen 2003,2003,Diet and Feeding Behavior of Mysore Slender Lorises,10,Slender loris,Primate,India,10.48691389 N,78.16099722 E
Newton 1984,1984,"THE ECOLOGY AND SOCIAL ORGANISATION OP HANUMAN LANGURS (Presbytis entellus Dufresne, 1797) IN KANHA TIGER RESERVE, CENTRAL INDIAN HIGHLANDS. THE ECOLOGY AND SOCIAL ORGANISATION OP HANUMAN LANGURS (Presbytis entellus Dufresne, 1797) IN KANHA TIGER RESERVE, CENTRAL INDIAN HIGHLANDS.",28,Hanuman langur,Primate,India,22.29949444 N,80.58642778 E
Newton 1989,1989,Associations between Langur Monkeys (Presbytis en tellus) and Chital Deer (Axis axis): Chance Encounters or a Mutualism?,28,Golden Jackal,Carnivore,India,22.29949444 N,80.58642778 E
Newton 1989,1989,Associations between Langur Monkeys (Presbytis en tellus) and Chital Deer (Axis axis): Chance Encounters or a Mutualism?,28,Hanuman langur,Primate,India,22.29949444 N,80.58642778 E
Newton 1989,1989,Associations between Langur Monkeys (Presbytis en tellus) and Chital Deer (Axis axis): Chance Encounters or a Mutualism?,28,Spotted deer,Herbivore,India,22.29949444 N,80.58642778 E
Newton 1989,1989,Associations between Langur Monkeys (Presbytis en tellus) and Chital Deer (Axis axis): Chance Encounters or a Mutualism?,28,Swamp deer,Herbivore,India,22.29949444 N,80.58642778 E
Newton 1989,1989,Associations between Langur Monkeys (Presbytis en tellus) and Chital Deer (Axis axis): Chance Encounters or a Mutualism?,28,Wild pig,Herbivore,India,22.29949444 N,80.58642778 E
Newton 1992,1992,Feeding and Ranging Patterns of Forest Hanuman Langurs (Presbytis enteUus),12,Hanuman langur,Primate,India,22.29949444 N,80.58642778 E
Ni et al 2014,2014,"Dietary Variability in the Western Black Crested Gibbon (Nomascus concolor) Inhabiting an Isolated and Disturbed Forest Fragment in Southern Yunnan, China",25,Black-crested gibbon,Primate,China,22.92904722 N,102.98155833 E
Nimisha & Sreekumar 2023,2023,"Frugivory, predation, and seed dispersal in Elaeocarpus munronii (Wight) Mast. (Elaeocarpaceae) -a near threatened species of the Western Ghats, India",12,Brown palm civet,Carnivore,India,10.14539167 N,77.03663333 E
Nimisha & Sreekumar 2023,2023,"Frugivory, predation, and seed dispersal in Elaeocarpus munronii (Wight) Mast. (Elaeocarpaceae) -a near threatened species of the Western Ghats, India",12,Indian barking deer,Herbivore,India,10.14539167 N,77.03663333 E
Nimisha & Sreekumar 2023,2023,"Frugivory, predation, and seed dispersal in Elaeocarpus munronii (Wight) Mast. (Elaeocarpaceae) -a near threatened species of the Western Ghats, India",12,Lion-tailed macaque,Primate,India,10.14539167 N,77.03663333 E
Nimisha & Sreekumar 2023,2023,"Frugivory, predation, and seed dispersal in Elaeocarpus munronii (Wight) Mast. (Elaeocarpaceae) -a near threatened species of the Western Ghats, India",12,Nilgiri langur,Primate,India,10.14539167 N,77.03663333 E
Nimisha & Sreekumar 2023,2023,"Frugivory, predation, and seed dispersal in Elaeocarpus munronii (Wight) Mast. (Elaeocarpaceae) -a near threatened species of the Western Ghats, India",12,Wild pig,Herbivore,India,10.14539167 N,77.03663333 E
Nurivanto et al 2016,2016,"FEEDING HABITS OF PACK LIVING DHOLE (Cuon alpinus) IN A DRY DECIDUOUS FOREST OF EAST JAVA, INDONESIA",4,Dhole,Carnivore,Indonesia,7.83116111 S,114.38755 E
Oates et al 1980,1980,"Food Selection by the South Indian Leaf-Monkey, Presbytis johnii, in Relation to Leaf Chemistry",21,Nilgiri langur,Primate,India,8.61630556 N,77.24604722 E
Omori & Hosoi 2021,2021,Contribution of Acorn Masting to Food Composition and Body Condition of and Crop Damage by Wild Boars (Sus scrofa) Inhabiting Evergreen Forests in Japan,7,Wild pig,Herbivore,Japan,34.27967778 N,131.521275 E
Ong 2020,2020,The Ecological Functions of Asian Elephants in the Sundaic Rainforest: Herbivory and Seed Dispersal,NA,Elephant,Herbivore,Malayesia,3.51208611 N,102.13476667 E
Ong et al 2019,2019,"Elephant frugivory and wild boar seed predation of Irvingia malayana, a large-fruited tree, in a rainforest of Peninsular Malaysia",NA,Elephant,Herbivore,Malayesia,5.54981111 N,101.34768889 E
Ong et al 2019,2019,"Elephant frugivory and wild boar seed predation of Irvingia malayana, a large-fruited tree, in a rainforest of Peninsular Malaysia",NA,Wild pig,Herbivore,Malayesia,5.54981111 N,101.34768889 E
Osugi et al 2020,2020,What determines the seedling viability of different tree species in raccoon dog latrines?,16,Raccoon dog,Carnivore,Japan,35.67622778 N,139.47863056 E
Otani 2002,2002,Seed dispersal by Japanese marten Martes melampus in the subalpine shrubland of northern Japan,10,Japanese marten,Carnivore,Japan,35.97445833 N,137.50734722 E
Pal et al 2018,2018,Extractive foraging and tool-aided behaviors in the wild Nicobar long-tailed macaque (Macaca fascicularis umbrosus),16,Nicobar long tailed macaque,Primate,India,7.03462778 N,93.78415 E
Palei et al 2013,2013,"Dry Season Diet of the Sloth Bear (Melursus ursinus) in Hadagarh Wildlife Sanctuary, Eastern India",6,Sloth bear,Carnivore,India,21.27969722 N,86.28893889 E
Pan et al 2016,2016,Seed handling by primary frugivores differentially influence post-dispersal seed removal of Chinese yew by ground-dwelling animals,NA,Masked palm civet,Carnivore,China,25.37873889 N,117.01079444 E
Panda & Behera 2022,2022,"Study on Seed Dispersal Potentiality of Asian Elephant (Elephas maximus) in the Northern Odisha, India",24,Elephant,Herbivore,India,21.46188056 N,86.75672222 E
Patwardhan et al 2016,2016,Distribution and population status of threatened medicinal tree Saraca asoca (Roxb.) De Wilde from Sahyadri Konkan ecological corri,NA,Bonnet macaque,Primate,India,18.23346667 N,73.44069167 E
Pia sethi,,CONSEQUENCES OF HORNBILL DECLINES FOR SEED DISPERSAL AND TROPICAL TREE REGENERATION IN THE INDIAN EASTERN HIMALAYAS,,Rhesus macaque,Primate,India,26.95354167 N,92.98934722 E
Polak et al 2014,2014,Redundancy in seed dispersal by three sympatric ungulates: a reintroduction perspective,12,Dorcas Gazelle,Herbivore,Israel,30.13087778 N,34.95066111 E
Polak et al 2014,2014,Redundancy in seed dispersal by three sympatric ungulates: a reintroduction perspective,12,Oryx,Herbivore,Israel,30.13087778 N,34.95066111 E
Polak et al 2014,2014,Redundancy in seed dispersal by three sympatric ungulates: a reintroduction perspective,12,Wild Ass,Herbivore,Israel,30.13087778 N,34.95066111 E
Prasad 2010,2010,"Seed Dispersal in the Tropical Dry Forests of Mudumalai, southern India",24,Bonnet macaque,Primate,India,11.56229167 N,76.53455 E
Prasad 2010,2010,"Seed Dispersal in the Tropical Dry Forests of Mudumalai, southern India",24,Civet sp,Carnivore,India,11.56229167 N,76.53455 E
Prasad 2010,2010,"Seed Dispersal in the Tropical Dry Forests of Mudumalai, southern India",24,Deer sp,Herbivore,India,11.56229167 N,76.53455 E
Prasad 2010,2010,"Seed Dispersal in the Tropical Dry Forests of Mudumalai, southern India",24,Elephant,Herbivore,India,11.56229167 N,76.53455 E
Prasad 2010,2010,"Seed Dispersal in the Tropical Dry Forests of Mudumalai, southern India",24,Hanuman langur,Primate,India,11.56229167 N,76.53455 E
Prasad 2010,2010,"Seed Dispersal in the Tropical Dry Forests of Mudumalai, southern India",24,Sloth bear,Carnivore,India,11.56229167 N,76.53455 E
Prasad et al 2004,2004,"Frugivory of Phyllanthus emblica at Rajaji National Park, northwest India",6,Spotted deer,Herbivore,India,30.01541944 N,78.15239722 E
Prasad et al 2006,2006,Ruminant-mediated Seed Dispersal of an Economically Valuable Tree in Indian Dry Forests1,NA,Spotted deer,Herbivore,India,30.01541944 N,78.15239722 E
Prasad et al 2010,2010,Who really ate the fruit? A novel approach to camera trapping for quantifying frugivory by ruminants,8,Spotted deer,Herbivore,India,11.56229167 N,76.53455 E
Prasad et al 2020,2020,"Residential Population Structure and Abundance of Nilgai, Boselaphus tragocamelus, (Pallas) in Bihar, India",23,Nilgai,Herbivore,India,25.55011389 N,84.15001667 E
Prasanai et al 2011,2011,"Forage Species of Hog Deer (Axis porcinus) in Phu Khieo Wildlife Sanctuary, Chaiyaphum Province, Thailand",NA,Hog deer,Herbivore,Thailand,16.38652778 N,101.57028333 E
Prerna et al 2015,2015,"Diet composition of Golden Jackals Canis aureus (Mammalia: Carnivora: Canidae) in Van Vihar National Park, India, a small enclosed area",3,Golden Jackal,Carnivore,India,23.23221389 N,77.36643056 E
Priyadarshini et al 2021,2021,The reproductive phenology of blackbuck: influence of seasonal nutritional resources and flexible lactation as an adaptive strategy,NA,Blackbuck,Herbivore,India,22.04394444 N,72.02046111 E
Punekar 2002,2002,"Some food plants of Hanuman Langur Semnopithecus entellus (Dufresne) in the western ghats of Maharashtra, India",25,Hanuman langur,Primate,India,18.755725 N,73.409075 E
Puri et al 2019,2019,Functional Role of Elephants in Maintaining Forest Ecosystem and Biodiversity: Lessons from Northwestern Elephant Range in India,NA,Elephant,Herbivore,India,30.01541944 N,78.15239722 E
Radhakrishna & Kumara 2010,2010,Behavioural variation in the Mysore slender loris Loris lydekkerianus lydekkerianus,20,Slender loris,Primate,India,10.35088056 N,78.00598056 E
Rahman et al 2015,2015,"FEEDING ECOLOGY OF THE NORTHERN PLAINS SACRED LANGUR Semnopithecus entellus (DUFRESNE) IN JESSORE, BANGLADESH: DIETARY COMPOSITION, SEASONAL AND AGE-SEX DIFFERENCES",12,Hanuman langur,Primate,Bangladesh,22.90546389 N,89.21938056 E
Rai 2004,2004,"The socio-economic & ecological impact of Garcinia gummi-gata fruit harvest in the Western Ghats, India",NA,Bonnet macaque,Primate,india,14.61551111 N,74.83470833 E
Rai 2004,2004,"The socio-economic & ecological impact of Garcinia gummi-gata fruit harvest in the Western Ghats, India",NA,Common palm civet,Carnivore,india,14.61551111 N,74.83470833 E
Rai 2004,2004,"The socio-economic & ecological impact of Garcinia gummi-gata fruit harvest in the Western Ghats, India",NA,Hanuman langur,Primate,india,14.61551111 N,74.83470833 E
Rajput et al 2019,2019,"Ecological impact of Prosopis juliflora on the habitat conditions of blackbuck in Sathyamangalam tiger reserve, Tamil Nadu, India",3,Blackbuck,Herbivore,India,11.62286944 N,77.12909444 E
Rajput et al 2019,2019,"Ecological impact of Prosopis juliflora on the habitat conditions of blackbuck in Sathyamangalam tiger reserve, Tamil Nadu, India",3,Spotted deer,Herbivore,India,11.62286944 N,77.12909444 E
Raju & Jonathan 2010,2010,"Anemophily, accidental cantharophily, seed dispersal and seedling ecology of Cycas sphaerica Roxb. (Cycadaceae), a data-deficient red-listed species of northern Eastern Ghats",NA,Sloth bear,Carnivore,India,18.96215 N,84.54056667 E
Raju & Rao 2006,2006,"Pollination by bees and passerine birds and seed dispersal by monkeys in the white teak Gmelina arborea Roxb., a commercially important timber tree species in the Eastern Ghats",15,Bonnet macaque,Primate,India,18.31072222 N,83.14881944 E
Raju & Rao 2006,2006,"Pollination by bees and passerine birds and seed dispersal by monkeys in the white teak Gmelina arborea Roxb., a commercially important timber tree species in the Eastern Ghats",15,Hanuman langur,Primate,India,18.31072222 N,83.14881944 E
Ramachandran & Joesph 2001,2001,"Feeding ecology of Nilgiri Langur (Trachypithecus johnii) in Silent Valley National Park , Kerala, India",36,Nilgiri langur,Primate,India,11.06942222 N,76.42800278 E
Raman 1990,1990,Ecology of the Asian elephant in southern India. II. FEEDING habits and crop raiding patterns,NA,Elephant,Herbivore,India,12.15367778 N,77.11112222 E
Raman 2013,2013,"The Chital (Axis axis Erxleben). The University of Chicago Press, Chicago",NA,Spotted deer,Herbivore,NA,NA,NA
Ramesh et al 2009,2009,ADDITIONAL NOTES ON THE DIET OF SLOTH BEAR MELURSUS URSINUS IN MUDUMALAI TIGER RESERVE AS SHOWN BY SCAT ANALYSIS,5,Sloth bear,Carnivore,India,11.56229167 N,76.53455 E
Ramkumaran et al 2017,2017,"Density and obligatory feeding habits of an isolated Golden Jackal Canis aureus L. (Mammalia: Carnivora: Canidae) population in Pirotan Island, Gulf of Kachchh, India",12,Golden Jackal,Carnivore,India,22.60061389 N,69.95652222 E
Randel & Tomecek 2021,2021,Axis axis (Artiodactyla: Cervidae) ,NA,Spotted deer,Herbivore,NA,NA,NA
Rathore & Chauhan 2014,2014,"The food habits of Himalayan Brown Bear Ursus arctos (Mammalia:Carnivora: Ursidae) in Kugti wildlife sanctuary, Himachal Pradesh, India",32,Brown bear,Carnivore,India,32.45419722 N,76.69719722 E
Rathore 2017,2017,"BLACKBUCK OCCUPANCY IN MOYAR VALLEY, TAMIL NADU",NA,Blackbuck,Herbivore,India,11.55171389 N,76.98953056 E
Reid 1991,1991,"Ecology of the asiatic black bear (Ursus thibetanus) in Sichuan, China",10,Asiatic black bear,Carnivore,China,31.03095 N,103.18306667 E
Riley 2007,2007,Flexibility in Diet and Activity Patterns of Macaca tonkeana in Response to Anthropogenic Habitat Alteration,15,Tonkean macaque,Primate,Indonesia,1.47495 S,120.18894167 E
Roberts 1977,1977,Mammals of Pakistan,NA,Chinkara,Herbivore,Pakistan,NA,NA
Robinowitz 1991,1991,"Behaviour and movements of sympatric civet species in Huai Kha Khaeng Wildlife Sanctuary, Thailand",18,Civet sp,Carnivore,Thailand,15.60864444 N,99.32084722E
Roy & Chowdhury 2014,2014,HABITAT USE AND FORAGING ECOLOGY OF THE ASIAN ELEPHANT (Elephas maximus) IN BUXA TIGER RESERVE AND ADJOINING AREAS OF NORTHERN WEST BENGAL,NA,Elephant,Herbivore,India,26.61703611 N,89.52826111 E
Roy & Nagarjan 2018,2018,"Biology, Ecology, and Conservation of Golden Langur, Trachypithecus geei",NA,Golden langur,Carnivore,India,NA,NA
Roy et al 2011,2011,"Diet and Dietary-Niche Breadth of Diurnal Rain Forest Primates in the Central Western Ghats, India",32,Bonnet macaque,Primate,India,14.25778333 N,74.697125 E
Roy et al 2011,2011,"Diet and Dietary-Niche Breadth of Diurnal Rain Forest Primates in the Central Western Ghats, India",32,Hanuman langur,Primate,India,14.25778333 N,74.697125 E
Roy et al 2011,2011,"Diet and Dietary-Niche Breadth of Diurnal Rain Forest Primates in the Central Western Ghats, India",32,Lion-tailed macaque,Primate,India,14.25778333 N,74.697125 E
Roy et al 2012,2012,"Foraging ecology of Nilgiri Langur (Trachypithecus Johnii) in Parimbikulam Tiger Reserve, Kerala, India",3,Nilgiri langur,Primate,India,10.44383889 N,76.81358889 E
Roy et al 2015,2015,"A preliminary study on the activity budget of post released Eastern Hoolock Gibbon Hoolock leuconedys (Mammalia: Primates: Hylobatidae) in Mehao Wildlife Sanctuary, Arunachal Pradesh, India",3,Eastern hoolock Gibbon,Primate,India,28.146775 N,95.93931944 E
Sajeer 2013,2013,Ecology and feeding behaviour of sloth bear (Melursus ursinus) in Parambikulam tiger reserve Kerala,36,Sloth bear,Carnivore,India,10.44383889 N,76.81358889 E
Sakamoto & Takhatsuki 2015,2015,Seeds Recovered from the Droppings at Latrines of the Raccoon Dog (Nyctereutes procyonoides viverrinus): The Possibility of Seed Dispersal,12,Raccoon dog,Carnivore,Japan,35.74211944 N,139.25742778 E
Samad & Hosetti 2018,2018,"EVALUATING FLORAL DIVERSITY OF GUDEKOTE BEAR SANCTUARY WITH REFERENCE TO FEEDING ECOLOGY OF SLOTH BEAR, MELURSUS URSINUS",12,Sloth bear,Carnivore,India,14.83646111 N,76.63175278 E
Sari dewi et al 2008,2008,The effects of digestion by Asiatic black bear Ursus thibetanus on seed germination of Japanese bird cherry Prunus grayana (Rosaceae),6,Asiatic black bear,Carnivore,Japan,36.69582778 N,137.21370833 E
Sasaki & Kawabata 1994,1994,the raccoon dog Nyctereutes procyonoides viverrinus in a mountainous area of Japan,12,Raccoon dog,Carnivore,Japan,35.49135278 N,139.28414167 E
Sathyakumar & Vishwanath 2003,2003,"Observations on food habits of Asiatic black bear in Kedarnath Wildlife Sanctuary, India: preliminary evidence on their role in seed germination and dispersal",36,Asiatic black bear,Carnivore,India,30.75344722 N,79.06450556 E
Sekar & Sukumar 2013,2013,Waiting for Gajah: an elephant mutualist's contingency plan for an endangered megafaunal disperser,NA,Elephant,Herbivore,India,26.61703611 N,89.52826111 E
Sekar & Sukumar 2013,2013,Waiting for Gajah: an elephant mutualist's contingency plan for an endangered megafaunal disperser,NA,Sambar,Herbivore,India,26.61703611 N,89.52826111 E
Sekar & Sukumar 2015,2015,The Asian elephant is amongst the top three frugivores of two tree species with easily edible fruit,26,Elephant,Herbivore,India,26.61703611 N,89.52826111 E
Sekar & Sukumar 2015,2015,The Asian elephant is amongst the top three frugivores of two tree species with easily edible fruit,26,Rhesus macaque,Primate,India,26.61703611 N,89.52826111 E
Sekar et al 2015,2015,In the elephantís seed shadow: the prospects of domestic bovids as replacement dispersers of three tropical Asian trees,36,Cattle,Herbivore,india,26.61703611 N,89.52826111 E
Sekar et al 2015,2015,In the elephantís seed shadow: the prospects of domestic bovids as replacement dispersers of three tropical Asian trees,36,Domestic buffalo,Herbivore,india,26.61703611 N,89.52826111 E
Sekar et al 2015,2015,In the elephantís seed shadow: the prospects of domestic bovids as replacement dispersers of three tropical Asian trees,36,Elephant,Herbivore,india,26.61703611 N,89.52826111 E
Seki & Koganezawa 2013,2013,Does sika deer overabundance exert cascading effects on the raccoon dog population?,96,Raccoon dog,Carnivore,Japan,36.89363056 N,139.63441944 E
Sengupta & Radhakrishna 2015,2015,Fruit Trait Preference in Rhesus Macaques (Macaca mulatta) and its Implications for Seed Dispersal,12,Rhesus macaque,Primate,India,26.61703611 N,89.52826111 E
Sengupta & Radhakrishna 2016,2016,"Influence of Fruit Availability on Fruit Consumption in a Generalist Primate, the Rhesus Macaque Macaca mulatta",12,Rhesus macaque,Primate,India,26.61703611 N,89.52826111 E
Sengupta et al 2014,2014,Seed Dispersal by Rhesus Macaques Macaca mulatta in Northern India,12,Rhesus macaque,Primate,India,26.61703611 N,89.52826111 E
Sengupta et al 2015,2015,"Primates, Provisioning and Plants: Impacts of Human Cultural Behaviours on Primate Ecological Functions",12,Rhesus macaque,Primate,India,26.61703611 N,89.52826111 E
Sethi & Howe 2012,2012,Fruit removal by hornbills in a semi-evergreen forest of the Indian Eastern Hima,4,Civet sp,Carnivore,India,26.95354167 N,92.98934722 E
Setty 2008,2008,Evaluation of a Participatory Resource Monitoring System for Nontimber Forest Products: the Case of Amla (Phyllanthus spp.) Fruit Harvest by Soligas in South India,NA,Bonnet macaque,Primate,India,11.86248056 N,77.15501944 E
Setty 2008,2008,Evaluation of a Participatory Resource Monitoring System for Nontimber Forest Products: the Case of Amla (Phyllanthus spp.) Fruit Harvest by Soligas in South India,NA,Four-horned antelope,Herbivore,India,11.86248056 N,77.15501944 E
Setty 2008,2008,Evaluation of a Participatory Resource Monitoring System for Nontimber Forest Products: the Case of Amla (Phyllanthus spp.) Fruit Harvest by Soligas in South India,NA,Hanuman langur,Primate,India,11.86248056 N,77.15501944 E
Setty 2008,2008,Evaluation of a Participatory Resource Monitoring System for Nontimber Forest Products: the Case of Amla (Phyllanthus spp.) Fruit Harvest by Soligas in South India,NA,Indian barking deer,Herbivore,India,11.86248056 N,77.15501944 E
Setty 2008,2008,Evaluation of a Participatory Resource Monitoring System for Nontimber Forest Products: the Case of Amla (Phyllanthus spp.) Fruit Harvest by Soligas in South India,NA,Indian spotted chevrotain,Herbivore,India,11.86248056 N,77.15501944 E
Setty 2008,2008,Evaluation of a Participatory Resource Monitoring System for Nontimber Forest Products: the Case of Amla (Phyllanthus spp.) Fruit Harvest by Soligas in South India,NA,Sambar,Herbivore,India,11.86248056 N,77.15501944 E
Setty 2008,2008,Evaluation of a Participatory Resource Monitoring System for Nontimber Forest Products: the Case of Amla (Phyllanthus spp.) Fruit Harvest by Soligas in South India,NA,Spotted deer,Herbivore,India,11.86248056 N,77.15501944 E
Setty 2015,2015,The sustainability of soapberry (Sapindus laurifolia Vahl) fruit harvest by the Soliga community in South India,NA,Gaur,Herbivore,India,11.86248056 N,77.15501944 E
Setty 2015,2015,The sustainability of soapberry (Sapindus laurifolia Vahl) fruit harvest by the Soliga community in South India,NA,Indian barking deer,Herbivore,India,11.86248056 N,77.15501944 E
Setty 2015,2015,The sustainability of soapberry (Sapindus laurifolia Vahl) fruit harvest by the Soliga community in South India,NA,Indian spotted chevrotain,Herbivore,India,11.86248056 N,77.15501944 E
Setty 2015,2015,The sustainability of soapberry (Sapindus laurifolia Vahl) fruit harvest by the Soliga community in South India,NA,Sambar,Herbivore,India,11.86248056 N,77.15501944 E
